(9331,18750)
(17811,17290)
(-4929,10436)
(-18129,-1364)
(14161,-16454)
(-25679,-202)
(2755,-18276)
(-31481,32452)
(21752,-28868)
(-12532,23488)
(29073,30765)
(23603,-1213)
(1664,12266)
(-178,-27712)
(27694,-9716)
(18220,-27050)
(-6096,11862)
(9364,20802)
(-15237,28505)
(-14863,13831)
(-8491,-12456)
(-24479,27808)
(11622,-22789)
(-17300,-2931)
(24799,-15263)
(1981,21413)
(29561,-18299)
(-5773,20837)
(990,-16729)
(13774,-11889)
(-8286,31635)
(834,-25393)
(31749,24188)
(-27407,30148)
(-893,-24712)
(24827,-27192)
(5349,-2366)
(-28203,-17334)
(-17121,5170)
(4659,20730)
(19188,-17262)
(19160,-13774)
(-1981,25349)
(14889,24643)
(7766,13488)
(-24688,-18898)
(-22846,3126)
(-23312,9672)
(-14072,14332)
(8880,32668)
(24695,-10477)
(24281,21597)
(-12651,-10514)
(6749,-12562)
(14602,14033)
(-2604,9971)
(-11697,-16853)
(4317,-21829)
(30283,27989)
(-5143,19557)
(-452,-18817)
(232,-9269)
(-24192,-13417)
(8468,2103)
(8105,-10214)
(16121,18482)
(-6679,-26139)
(-32459,-16518)
(28955,-20552)
(-5543,12174)
(25994,-9182)
(24618,3533)
(26897,13149)
(28043,-11045)
(22184,816)
(228,4355)
(-32296,-12678)
(12592,20514)
(20097,-27110)
(11319,-14657)
(-29770,503)
(32261,-7501)
(-9898,21446)
(28877,-12228)
(-5433,-3529)
(-29203,825)
(4442,29862)
(-22439,6830)
(-11598,1838)
(-14678,21716)
(-27582,21506)
(19126,14648)
(-5883,26686)
(-2675,-23079)
(-32643,-6218)
(7661,22822)
(-24681,17480)
(-7389,-5508)
(-10847,21595)
(-12691,1822)
(32067,-7396)
(20285,18658)
(-7044,15640)
(14580,19821)
(22507,-28019)
(30433,-28413)
(-31288,9218)
(28676,-6693)
(22274,-21708)
(-910,-18952)
(20499,24064)
(-3239,-5177)
(-6158,-405)
(15863,11539)
(3312,-9390)
(-26111,16020)
(-4605,-29893)
(-23295,-20983)
(30170,7742)
(10547,27690)
(27644,20598)
(26376,-6548)
(15062,25324)
(-7990,23094)
(-27075,-25092)
(27465,27605)
(10641,-22068)
(18053,-9264)
(-486,19074)
(-3109,30668)
(-13446,16919)
(-9654,-7130)
(-20047,-24549)
(6650,24482)
(-24106,-27420)
(11495,13136)
(23522,8857)
(-27534,1647)
(10001,32148)
(-31091,-1004)
(20858,17135)
(13575,-6978)
(-21890,-14612)
(25504,30737)
(29370,-16997)
(-14379,-5134)
(-30445,20856)
(-28520,-4298)
(28252,6454)
(-24604,-15296)
