(-6580,-13225)
(-14174,-9319)
(12886,-660)
(-10117,-15147)
(-23703,10791)
(-30798,20833)
(14290,2106)
(-20046,26074)
(-17842,-13458)
(-8526,5548)
(16034,-21692)
(-26837,18346)
(1778,31567)
(22298,32026)
(30381,-7471)
(2950,4070)
(9840,-3102)
(14503,17206)
(-9924,-5535)
(25864,1069)
(-763,-20312)
(7973,26176)
(7648,5369)
(8767,-1006)
(-13216,-11668)
(-8862,-11565)
(-20082,7251)
(9479,-19728)
(6607,-31640)
(-1406,30354)
(19944,-17900)
(31784,-8436)
(6398,7683)
(8566,-7039)
(-27630,12172)
(-13317,10391)
(22999,-24941)
(25046,-23775)
(-29068,24898)
(-20874,-14244)
(-19192,11542)
(-24718,-896)
(-15434,24708)
(-18903,-32596)
(14118,-12543)
(14631,-525)
(23188,22908)
(8995,-19155)
(-25136,26568)
(18228,20885)
(-14068,-11678)
(-6118,9854)
(23206,25052)
(4099,13433)
(5898,-23608)
(-7038,19986)
(-19734,27232)
(-11235,-30956)
(-20610,-10393)
(27418,-476)
(24258,6273)
(-27308,20629)
(24407,9442)
(4328,-18912)
(-14966,19341)
(-294,9100)
(-22597,22915)
(-21947,-16278)
(-10894,-5705)
(-16646,-2135)
(-32122,21910)
(-13398,10807)
(-7770,-2825)
(-10218,5936)
(-4882,2042)
(18793,4850)
(-8174,-31707)
(6953,-5975)
(1394,27952)
(19881,-26029)
(25274,-28382)
(18446,32309)
(15878,28604)
(30308,5862)
(-28688,21092)
(5911,-2353)
(19644,120)
(4696,-26474)
(22924,-27028)
(-30067,3252)
(-12366,15215)
(16290,-29026)
(-1356,21763)
(24090,-26009)
(-29063,-5820)
(7352,21420)
(25864,-15815)
(-5310,9730)
(-7271,30757)
(833,-28102)
(18210,-30721)
(-14734,23013)
(15648,-10778)
(-22934,-1245)
(-4500,-29887)
(-26506,18256)
(-19788,22781)
(10814,-14219)
(86,23565)
(-31224,-22247)
(10469,-1019)
(-7882,21692)
(-8418,16180)
(8017,-25674)
(28931,9528)
(-7735,24873)
(20170,-5586)
(16478,-13325)
(1371,-8260)
(-3004,10323)
(-23763,10646)
(17989,-20473)
(-18331,16395)
(-15142,-19470)
(-739,-22397)
(-27732,-20089)
(9045,-19960)
(4046,15727)
(-30668,17961)
(-23187,11307)
(-2412,-7643)
(-17289,1364)
(-22328,23412)
(6940,5032)
(13641,12168)
(-30619,-32670)
(-18990,5344)
(-30034,-24532)
(26796,20911)
(24228,27157)
(26276,-16021)
(-1330,16683)
(-24187,-21419)
(-32698,-25554)
(-30062,18950)
(18665,994)
(-1909,-12370)
(-31315,24879)
(32286,30058)
(16112,15079)
(-16195,-26496)
(-3412,7055)
(-29955,20194)
(-5649,-13457)
(-16957,-26993)
(25278,-28908)
(-7661,-10589)
(-32188,-24639)
(13541,-17484)
(-23748,24503)
(-3290,-24743)
(3431,2431)
(24950,-11777)
(-12465,6340)
(-3692,14212)
(-14544,32118)
(29461,-1940)
(-27475,9754)
(8570,16134)
(-25018,32460)
(9481,6499)
(3018,20794)
(-9391,-3362)
(-27904,27056)
(-23973,26736)
(22530,-1133)
(28059,-30357)
(-2431,16731)
(-30886,25820)
(29747,-6519)
(11738,-26521)
(19219,19295)
(10331,-14135)
(551,17268)
(32661,11385)
(-26617,-3987)
(-17212,13157)
(-25290,-19580)
(1714,-28766)
(3362,-28795)
(-11723,-8770)
(-10608,-30962)
(17441,28543)
(-28203,3980)
(-19021,11271)
(10733,-7216)
(-24740,-7635)
(7819,31700)
(4397,-10192)
(3914,-31223)
(-22350,5601)
(-21411,-450)
(-4041,7405)
(29356,-6536)
(-20863,28586)
(-1638,-27276)
(-2073,-9270)
(-23610,31839)
(2981,-20453)
(23157,5181)
(11484,-23026)
(-20841,-13309)
(-10074,-29227)
(17811,18091)
(-10563,-23877)
(-22247,13674)
(26065,-14453)
(-5835,-75)
(22288,-31423)
(10406,-25666)
(-226,32128)
(5394,7767)
(20753,-9246)
(-5002,-4664)
(21277,-18349)
(-21125,302)
(8215,4425)
(6413,14344)
(-8244,-11377)
(3061,-1054)
(-19187,8536)
(24068,32167)
(16910,-7891)
(-19221,-19142)
(27790,15034)
(-3141,16460)
(-5351,11635)
(-24433,-9292)
(31542,-18539)
(-3394,30805)
(-23645,-24864)
(-22814,27797)
(-12433,-16078)
(12938,23252)
(-28510,-5154)
(24670,-13221)
(-5703,29696)
(25920,-3451)
(-20187,-17839)
(24041,4581)
(-24410,21824)
(23136,-3310)
(15480,28968)
(-28171,-17661)
(29239,28064)
(9676,-29959)
(-2131,1117)
(-2427,-2400)
(3082,29296)
(-22641,-18606)
(5013,8773)
(441,19345)
(-21526,3358)
(-21922,-13769)
(-7112,-20713)
(13942,-14969)
(23184,23094)
(30395,19174)
(-18783,7483)
(-5685,-5372)
(-24338,19815)
(16290,-29335)
(-16691,17582)
(13162,-799)
(9361,-11642)
(-19960,21306)
(26496,-7004)
(-2740,12817)
(-28719,-28484)
(-19358,26057)
(-8951,28197)
(183,3461)
(10432,9418)
(26746,31370)
(6386,-11224)
(3875,4409)
(24323,-26196)
(-25010,-3209)
(2659,-30797)
(27157,-7070)
(15724,30270)
(-14395,34)
(-121,32391)
(-27319,4955)
(-26496,-22622)
(-11844,4883)
(19438,18605)
(-10920,14499)
(22526,-1826)
(32735,-27614)
(24356,-12061)
(-28149,15798)
(-29755,-5165)
(32536,20640)
(29397,3631)
(-8136,20666)
(-21906,-9293)
(6757,-31339)
(-16109,16295)
(-20218,32388)
(-6880,-996)
(27216,-440)
(1870,-1932)
(-15294,773)
(-32100,24616)
(-30439,22684)
(7701,-9230)
(-1577,4300)
(16103,22194)
(9059,8824)
(-28577,-28278)
(4595,26553)
(6642,23867)
(-25740,-4376)
(16287,4482)
(31810,22247)
(16931,-1947)
(24155,30278)
(-31279,13469)
(6865,7511)
(25388,28374)
(2267,-14112)
(-21594,31655)
(-9365,-10622)
(3043,-4331)
(-19892,-27698)
(10995,28619)
(28964,23160)
(-842,25109)
(29985,19209)
(26563,-27165)
(32604,-9108)
(-23290,32664)
(-16690,-24342)
(25884,-2262)
(2838,7737)
(-10822,-21258)
(21041,-20936)
(-15583,24606)
(-24163,15084)
(-14409,-27314)
(3067,21732)
(22249,-15726)
(10079,9617)
(28588,-20893)
(31344,-2028)
(8833,-21226)
(3632,-7967)
(12451,-8809)
(10483,-2308)
(-15483,32355)
(-6867,5031)
