(28525,1962)
(-6192,-19434)
(-31012,4128)
(25479,-23001)
(-25746,16508)
(12757,20535)
(285,9070)
(-3748,-17804)
(-10737,27738)
(-17110,-15994)
(17955,-5378)
(-4669,7829)
(13133,-9558)
(5119,16969)
(-4917,-1690)
(-12368,13483)
(25367,31348)
(7938,-20567)
(226,25348)
(25956,1064)
(-15768,-13654)
(31186,9396)
(11824,9744)
(-13012,16486)
(7868,3524)
(4562,-20610)
(18932,25188)
(13454,31173)
(-1048,18104)
(25092,3295)
(26645,27328)
(1991,21210)
(-5579,88)
(25271,21138)
(9265,22526)
(-3549,-24363)
(2773,32538)
(16991,-15657)
(6666,22167)
(-7567,-15039)
(-9472,7407)
(-17687,63)
(29201,12964)
(-17394,-18297)
(-13519,-11114)
(-26448,26249)
(-18214,-7052)
(-4626,13474)
(-3778,15714)
(-14084,12150)
(-3850,-6364)
(31516,-1149)
(-14450,134)
(13058,-5483)
(-29336,23915)
(2092,29676)
(-22024,-12905)
(6848,26102)
(11070,-21460)
(21248,-23024)
(-14338,-24362)
(9384,-21090)
(20107,-8784)
(-8108,20954)
(-13981,16798)
(-25030,-1968)
(-8383,-24872)
(3301,10939)
(-13083,-338)
(-10599,11731)
(-23202,-6343)
(11478,30378)
(25950,-7941)
(-30728,4760)
(23798,12644)
(14671,27534)
(-13438,6152)
(-5709,8400)
(-14329,17070)
(9506,10078)
(14357,-20332)
(-6536,23792)
(-25523,1809)
(-13203,31065)
(-15981,19733)
(20857,24209)
(-13023,-2252)
(31429,-16237)
(7269,-22648)
(15745,27967)
(-22191,20470)
(30691,-14932)
(1041,4538)
(22983,22962)
(1082,-28409)
(7244,-28397)
(2106,-4139)
(25000,27959)
(-28146,1596)
(17110,24680)
(-20986,-17236)
(-2154,-25474)
(-21394,4361)
(-20504,4962)
(11974,-31625)
(-6530,-9038)
(-11860,-3372)
(-31710,20985)
(-23520,-552)
(-3196,31923)
(27705,5930)
(-23591,-12811)
(-26235,-15460)
(-20655,-4263)
(-3314,28758)
(28008,-950)
(1412,-10264)
(31938,-12984)
